t, tm
6.770060, 0.008052
6.780060, 0.007806
6.790061, 0.007559
6.800061, 0.007312
6.810061, 0.007063
6.820061, 0.006814
6.830061, 0.006563
6.840062, 0.006312
6.850062, 0.006060
6.860062, 0.005807
6.870062, 0.005554
6.880063, 0.005299
6.890063, 0.005044
6.900063, 0.004788
6.910063, 0.004531
6.920063, 0.004274
6.930064, 0.004016
6.940064, 0.003757
6.950064, 0.003498
6.960064, 0.003238
6.970065, 0.002977
6.980065, 0.002716
6.990065, 0.002454
7.000065, 0.002192
7.010066, 0.001929
7.020066, 0.001665
7.030066, 0.001401
7.040066, 0.001137
7.050066, 0.000872
7.060067, 0.000606
7.070067, 0.000341
7.080067, 0.000074
7.090067, -0.000192
7.100068, -0.000459
7.110068, -0.000726
7.120068, -0.000994
7.130068, -0.001262
7.140069, -0.001530
7.150069, -0.001799
7.160069, -0.002067
7.170069, -0.002336
7.180069, -0.002605
7.190070, -0.002874
7.200070, -0.003144
7.210070, -0.003413
7.220070, -0.003683
7.230071, -0.003953
7.240071, -0.004222
7.250071, -0.004492
7.260071, -0.004762
7.270072, -0.005031
7.280072, -0.005301
7.290072, -0.005571
7.300072, -0.005840
7.310072, -0.006110
7.320073, -0.006379
7.330073, -0.006648
7.340073, -0.006917
7.350073, -0.007185
7.360074, -0.007454
7.370074, -0.007722
7.380074, -0.007990
7.390074, -0.008257
7.400074, -0.008524
7.410075, -0.008791
7.420075, -0.009058
7.430075, -0.009324
7.440075, -0.009589
7.450076, -0.009854
7.460076, -0.010119
7.470076, -0.010383
7.480076, -0.010646
7.490077, -0.010909
7.500077, -0.011171
7.510077, -0.011433
7.520077, -0.011694
7.530077, -0.011954
7.540078, -0.012214
7.550078, -0.012472
7.560078, -0.012730
7.570078, -0.012988
7.580079, -0.013244
7.590079, -0.013499
7.600079, -0.013754
7.610079, -0.014008
7.620080, -0.014261
7.630080, -0.014512
7.640080, -0.014763
7.650080, -0.015013
7.660080, -0.015262
7.670081, -0.015509
7.680081, -0.015756
7.690081, -0.016001
7.700081, -0.016245
7.710082, -0.016488
7.720082, -0.016730
7.730082, -0.016971
7.740082, -0.017210
7.750082, -0.017448
7.760083, -0.017684
7.770083, -0.017920
7.780083, -0.018153
7.790083, -0.018386
7.800084, -0.018617
